title,bait,question,incl_caps,number_start,you,word_count,make_me,modifier,curse
One game? NFL ban draws renewed rage,0,1,1,0,0,7,0,0,0
Colorado marijuana is 5 times as potent as national average,0,0,0,0,0,10,0,0,0
"New screen time rules for kids, by doctors",0,0,0,0,0,8,0,0,0
Surgeons use nose cells to repair damaged knee joints,0,0,0,0,0,9,0,0,0
Feds: NSA contractor's secrets theft 'breathtaking',0,0,1,0,0,6,0,0,0
Zika testing urged for pregnant women in Miami-Dade County,0,0,0,0,0,9,0,1,0
Postal worker caught on video dumping mail in woods,0,0,0,0,0,9,0,0,0
How doctors diagnose heart failure,0,0,0,0,0,5,0,0,0
Minneapolis police clear officers in 2015 fatal shooting,0,0,0,0,0,8,0,0,0
Fugitive police chief in Mexico arrested missing students case,0,0,0,0,0,9,0,0,0
He was convicted of raping his daughter. A judge gave him 60 days,0,0,0,0,0,13,0,0,0
'Crimes of historic proportions' in Aleppo,0,0,0,0,0,6,0,0,0
Who's the cold-case suspect in town?,0,1,0,0,0,6,0,0,0
'El Chapo' 1 step closer to extradition,0,0,0,0,0,7,0,0,0
Postal worker caught dumping mail,0,0,0,0,0,5,0,0,0
The pot in Colorado is getting stronger,0,0,0,0,0,7,0,0,0
Thousands of gays to be pardoned,0,0,0,0,0,6,0,0,0
Attorney: Teen loses leg after teacher's 'body slam',0,0,0,0,0,8,0,0,0
Arrests in killing of Olympian's child,0,0,0,0,0,6,0,0,0
'El Chapo' extradition to US clears another legal hurdle,0,0,1,0,0,9,0,0,0
Judge defends sentencing man who raped child to 2 months in jail,0,0,0,0,0,12,0,0,0
"Derrick Rose, 2 others cleared in civil rape case",0,0,0,0,0,9,0,0,0
"Someone in a Minnesota town is an alleged killer, but who?",0,1,0,0,0,11,0,0,0
Trump's Gettysburg address outlines first 100 days,0,0,0,0,0,7,0,0,0
What the average American owes after college,0,0,0,0,0,7,0,0,0
Nobel member calls Dylan's silence 'arrogant',0,0,0,0,0,6,0,0,0
9th planet may solve solar system 'mystery',0,0,0,1,0,7,0,0,0
Emmett Till marker riddled with bullets,0,0,0,0,0,6,0,0,0
The best tech to watch your home from afar,0,0,0,0,1,9,0,0,0
Will millennials pay for network TV on YouTube?,0,1,1,0,1,8,0,0,0
How to save as a wedding guest,0,0,0,0,0,7,0,0,0
"No, Trump groper Halloween costumes aren't funny",0,0,0,0,0,7,0,1,0
Meet the ?Clinton coalition?: Hillary?s must-win Ohio voters,0,0,0,0,0,8,0,0,0
Why Gore in 2000 is different than Trump now,0,0,0,0,0,9,0,0,0
Google suggests Sanders may get a bunch of votes,0,0,0,0,0,9,0,0,0
"Trump: Obama should be working, not campaigning",0,0,0,0,0,7,0,0,0
Election officials fear untrained poll watchers,0,0,0,0,0,6,0,0,0
Trump?s Gettysburg address outlines first 100 days,0,0,0,0,0,7,0,0,0
Trump lawyers want the campaign to be off-limits in Trump U. trial,0,0,0,0,0,12,0,0,0
"Biden: If this was high school, I?d take Trump ?behind the gym?",0,0,0,0,0,12,0,0,0
Clinton NYC HQ evacuated over substance found in envelope,0,0,1,0,0,9,0,0,0
Turkey attacks US-backed Kurdish fighters in Syria,0,0,0,0,0,7,0,0,0
China: Soon the most visible victim of deglobalisation,0,0,0,0,0,8,0,0,0
Hackers cripple US internet in wide-scale cyber attack,0,0,1,0,0,8,0,0,0
US scientists find new way to convert CO2 to green fuel,0,0,1,0,0,11,0,0,0
Sulphur cloud from torched plant kills two Iraqis,0,0,0,0,0,8,0,0,0
North Carolina voters flood polls after voting battle,0,0,0,0,0,8,0,0,0
Iraq turns down Turkey's help in battle for Mosul,0,0,0,0,0,9,0,0,0
Donald Trump is America,0,0,0,0,0,4,0,0,0
The voices of peace opposing war in India and Pakistan,0,0,0,0,0,10,0,0,0
WikiLeaks: Neutral reporter or political player?,0,1,0,0,0,6,0,0,0
Are India and Pakistan heading for a nuclear showdown?,0,1,0,0,0,9,0,0,0
Economics defines India-Pakistan rapprochement,0,0,0,0,0,4,0,0,0
Indians and Pakistanis make peace overseas,0,0,0,0,0,6,0,0,0
Bourdain on Nashville: We left 'damaged but happy',0,0,0,0,0,8,0,0,0
Having a beer with President Obama in Vietnam,0,0,0,0,0,8,0,0,0
Nashville: A chef's guide to a city with incredible range,0,0,0,0,0,10,0,0,0
Bourdain's 'enchanting' visit to Senegal,0,0,0,0,0,5,0,0,0
Beauty and stiff drinks in a former Soviet republic,0,0,0,0,0,9,0,0,0
Finding the beating heart of Big Sky Country,0,0,0,0,0,8,0,0,0
Unfinished business in the Philippines,0,0,0,0,0,5,0,0,0
N.Y. Governor Cuomo Signs Bill to Fine Illegal Airbnb Hosts,0,0,0,0,0,11,0,0,0
AT&T Pushing for Time Warner Deal by Monday to Beat Rivals,0,0,1,0,0,11,0,0,0
Australia Discovers the Cost of Blocking China,0,0,0,0,0,7,0,0,0
Warren Buffett Loves This Business?Maybe a Little Too Much,0,0,0,0,0,9,0,0,0
Clinton Campaign Ponders 'What If' Trump Doesn't Concede,0,0,0,0,0,8,0,0,0
The Feds Won?t Buy This $19 Million Stealth Boat?or Let It Be Sold Abroad,0,0,1,0,0,14,0,0,0
Oil Market Glut Grows Bigger as Saudi Arabia Says Worst Is Over,0,0,0,0,0,12,0,0,0
Pound?s Uncomfortable Truce Can?t Mask the Risk of Abrupt Swings,0,0,0,0,0,10,0,0,0
"New Zimbabwe Notes Stir Memory of 1,000,000,000% Inflation",0,0,0,0,0,11,0,0,0
Hedge Fund Managers Struggle to Master Their Miserable New World,0,0,0,0,0,10,0,0,0
AT&T Discussed Idea of Takeover in Time Warner Meetings,0,0,1,0,0,9,0,0,0
Russia?s Rising Oil-Output Forecasts Give Leverage in OPEC Talks,0,0,1,0,0,9,0,0,0
Putin Helped Save His Oil Giant. Now Rosneft Returns the Favor,0,0,0,0,0,11,0,0,0
Reports: AT&T Will Buy Time Warner For More Than $80 Billion,0,0,1,0,0,11,0,0,0
"Japanese Climber Junko Tabei, First Woman To Conquer Mount Everest, Dies At 77",0,0,0,0,0,13,0,0,0
At Least 70 Die In Train Derailment In Cameroon; Hundreds Injured,0,0,0,0,0,11,0,0,0
British man found dead and bound to bench at M†laga airport,0,0,1,0,0,12,0,0,0
More than 50 child refugees arrive in Britain as Calais camp faces destruction,0,0,0,0,0,13,0,0,0
Carey Mulligan joins London protest against bombardment of Aleppo,0,0,0,0,0,9,0,0,0
"'When I fled to the UK, no one believed I was 13. Ten years on, nothing's changed'",0,0,1,0,0,17,0,0,0
Asma al-Assad: from Syria's 'desert rose' to 'first lady of hell',0,0,0,0,0,11,0,0,1
Attack on Kirkuk and chemical fire push troops back from Mosul frontline,0,0,0,0,0,12,0,0,0
Iraq: hundreds treated over toxic fumes from sulphur plant 'set alight by Isis',0,0,0,0,0,13,0,0,0
Colombia airline avoids Venezuela after warplane approaches flight,0,0,0,0,0,8,0,0,0
Gaddafi's last words as he begged for mercy: 'What did I do to you?',0,1,0,0,1,15,0,0,0
?Brexit times five?: could Trump really win despite polls favoring Clinton?,0,1,0,0,0,11,0,1,0
"Houston, we've got a problem: Trump could cost Republicans Texas, polls find",0,0,0,0,0,12,0,0,0
Trump uses Gettysburg address to threaten to sue sex assault accusers,0,0,0,0,0,11,0,0,1
WikiLeaks praised by Sean Hannity and David Duke after Clinton revelations,0,0,0,0,0,11,0,0,0
Trump says countries are turning on US because 'the world hates Obama',0,0,1,0,0,12,0,0,0
Inside America's biggest prison strike: 'The 13th amendment didn't end slavery',0,0,0,0,0,11,0,1,0
Why is the Ivanka Trump clothing line boycott growing? You are what you wear,0,1,0,0,1,14,0,0,0
The brash lawyer who won NBA player Derrick Rose's rape trial,0,0,1,0,0,11,0,0,0
What did Clinton and Trump talk about in the debates ? and for how long?,0,1,0,0,0,15,0,0,0
Inside the impossible life of a New York street vendor,0,0,0,0,0,10,0,0,0
A Look at the Fight for Control of the Senate,0,0,0,0,0,10,0,0,0
Pentagon Identifies U.S. Service Member Killed in Iraq,0,0,0,0,0,9,0,0,0
AT&T Reportedly in Talks to Buy Time Warner for $80B,0,0,1,0,0,10,0,0,0
NFL Didn't Learn Its Lesson After Ray Rice Incident,0,0,1,0,0,9,0,0,0
2 Children Killed in Georgia Home Invasion,0,0,0,1,0,7,0,0,0
19 Die as Helicopter Crashes in Russia,0,0,0,1,0,7,0,0,0
Charles Barkley Talks Race in America,0,0,0,0,0,6,0,0,0
Clinton Slammed for Her View of Court Gun Ruling,0,0,0,0,0,9,0,0,0
Nobel Academy Member: Bob Dylan's Silence 'Arrogant',0,0,0,0,0,7,0,0,0
Anti-Trump Column Pulled From Student Newspaper,0,0,0,0,0,6,0,0,0
Former KKK Leader Qualifies for US Senate Debate,0,0,1,0,0,8,0,0,0
Trump Can Take a Joke Only So Far,0,0,0,0,0,8,0,0,0
Schiaparelli Probe Likely Crash-Landed on Mars,0,0,0,0,0,6,0,0,0
Deer Rescued After Being Found Tied Up,0,0,0,0,0,7,0,0,0
NSA Contractor to Be Detained Before Trial,0,0,1,0,0,7,0,0,0
Ruling Clears Way for Ky. Inmate to Get Married,0,0,0,0,0,9,0,0,0
Peanut Butter Vandal Mistakes Gathering for Trump Rally,0,0,0,0,0,8,0,0,1
Woman With Skull on Stick Leads Police to Body,0,0,0,0,0,9,0,0,0
2 Arrested in San Francisco High School Shooting,0,0,0,1,0,8,0,0,0
Twins Joined at Head Separated After 20-Hour Surgery,0,0,0,0,0,8,0,0,0
Locally Transmitted Zika Cases Found in New Area in Florida,0,0,0,0,0,10,0,0,0
"Natural Disasters May Increase Substance Abuse Risk, Study Finds",0,0,0,0,0,9,0,0,0
"Boston and San Francisco Most Active U.S. Cities, Report Finds",0,0,0,0,0,11,0,0,0
Health Issues After Hurricane Matthew Could Include Increased Zika,0,0,0,0,0,9,0,0,0
Dozens of Cholera Cases Reported in Haiti After Hurricane Matthew,0,0,0,0,0,10,0,0,0
Florida Parents Celebrate Birth of Twins During Hurricane Matthew,0,0,0,0,0,9,0,0,0
Hurricane Health Risks Can Last Long After Storm Passes,0,0,0,0,0,9,0,0,1
Surge in Cholera Cases Feared in Haiti in Aftermath of Hurricane Matthew,0,0,0,0,0,12,0,0,0
"US Investigating Repeated Cyberattacks; Twitter, Other Major Sites Temporarily Knocked Out",0,0,1,0,0,11,0,0,0
NSA Can Access More Phone Data Than Ever,0,0,1,0,0,8,0,0,0
Another Navy Officer Pleads Guilty in Hooker-for-Info Bribery Scandal,0,0,0,0,0,9,0,0,0
Trump Hits Clinton Over Haiti Controversy,0,0,0,0,0,6,0,0,0
"Under Hillary Clinton, US Officials Asked Haitians, Do You Like Bill?",0,1,1,0,1,11,0,0,0
"In Haiti, a Factory Where Big Money, State Department and the Clintons Meet",0,0,0,0,0,13,0,0,0
How to Make Sure Your Gift Cards Aren't a Gamble,0,0,0,0,1,10,0,0,0
The Spy Who Came in From the Cornfields,0,0,0,0,0,8,0,0,0
Shields and Brooks on the danger of our ideological divide,0,0,0,0,0,10,0,0,0
What the latest polls mean for the presidency -- and Congress,0,0,1,0,0,11,0,0,0
"With campaign winding down, Clinton leads polls",0,0,0,0,0,7,0,0,0
Airbnb sues New York for imposing fines on illegal renters,0,0,0,0,0,10,0,0,0
Trump vowing to sue 'every one' of his female accusers ,0,0,0,0,0,10,0,1,0
Top 6 takeaways from the final presidential debate,0,0,0,0,0,8,0,0,0
Is the media fair to Donald Trump?,0,1,0,0,0,7,0,0,0
Read our fact check of the final presidential debate,0,0,0,0,0,9,0,0,0
NSA contractor suspected of espionage is deemed a flight risk,0,0,1,0,0,10,0,0,0
Breaking down U.S.?s role in Yemen?s civil war,0,0,0,0,0,10,0,0,0
California to vote on legalizing recreational marijuana,0,0,0,0,0,7,0,0,0
Why are Republicans split about Trump?,0,1,0,0,0,6,0,0,0
A child dies every other day from gun accidents in U.S.,0,0,0,0,0,12,0,1,0
Companies race to make electric cars mainstream,0,0,0,0,0,7,0,0,0
Internet struggles? It?s not you. A colossal attack has crippled America?s web address book,0,1,0,0,1,14,0,0,0
FBI warned of white supremacists in law enforcement 10 years ago. Has anything changed?,0,1,1,0,0,14,0,0,0
Watchdog says EPA delayed Flint emergency order,0,0,1,0,0,7,0,0,0
Obama to urge millennials to sign up for health care,0,0,0,0,0,10,0,0,0
"Sexually transmitted diseases in U.S. at all-time high, CDC says",0,0,1,0,0,11,0,0,1
"Record high 60 percent of Americans back legal pot, poll finds",0,0,0,0,0,11,0,0,0
"Clinton, Trump set for last debate as ugly race nears finish",0,0,0,0,0,11,0,0,0
Business owners become donors in push to legalize marijuana,0,0,0,0,0,9,0,0,0
White House aims for 13.8 million health care sign-ups this season,0,0,0,0,0,12,0,0,0
"New voter ID rules, other election changes could cause confusion",0,0,1,0,0,10,0,0,0
U.S. Justice Department to dispatch fewer election observers,0,0,0,0,0,9,0,0,0
"Number of police officers killed on duty decreased in 2015, according to FBI",0,0,1,0,0,13,0,0,0
"Don?t worry America, Canada thinks you?ve always been great",0,0,0,0,1,9,0,0,0
"Nearly one out of five U.S. drivers is age 65 or older, government says",0,0,0,0,0,15,0,0,0
"Six years after the Great Recession, house flipping is on the rise",0,0,0,0,0,12,0,0,0
LGBTQ seniors face discrimination in long-term care,0,0,1,0,0,7,0,0,0
What Is Your Inner Potato?,1,1,0,0,1,5,0,0,0
43 Halloween Costumes You Can Make For Under $20,1,0,1,1,1,9,1,0,0
Leonardo DiCaprio Might Be A Human Puppy,1,0,0,0,0,7,0,0,0
"WTF Is Mindfulness, Actually?",1,1,1,0,0,4,0,1,0
The Top 10 DUMBEST BuzzFeed Lists You?re EMBARRASSED To Say You CLICKED,1,0,1,0,1,12,0,0,1
A Black Metal Band Crashed A Couple's Engagement Shoot And It's Perfect,1,0,0,0,0,12,0,1,0
15 Hedgehogs With Things That Look Like Hedgehogs,1,0,0,1,0,8,0,0,0
Can You Spot The Fast Food Breakfast Item With The Most Calories?,1,1,0,0,1,12,1,0,0
21 Foods That Forgot How To Food,1,0,0,1,0,7,0,0,0
19 Halloween Costumes That Failed So Hard They'll Scare You Shitless,1,0,0,1,1,11,0,0,1
Which Possible Illuminati Member Are You?,1,1,0,0,1,6,0,0,0
22 Jokes That You'll Probably Go To Hell For Laughing At,1,0,0,1,1,11,0,1,1
26 Face Swaps That Will Make You Ridiculously Uncomfortable,1,0,0,1,1,9,1,0,0
15 Amazing Loter°a Costumes That?ll Inspire You This Halloween,1,0,0,1,1,9,0,0,0
Which Ousted Arab Spring Ruler Are You?,1,1,0,0,1,7,0,0,0
29 Rare Pictures Obama Doesn't Want You To See,1,0,0,1,1,9,0,1,0
37 Things Conservatives Would Rather Do Than Watch Obama?s State Of The Union Speech,1,0,0,1,0,14,0,0,0
7 Beautiful Girls Justin Bieber Has Dated (With Pictures),1,0,0,1,0,9,0,1,0
15 Funniest *Hits Blunt* Memes On The Internet,1,0,0,1,0,8,0,1,0
9 Beautiful Girls Zayn Malik Has Dated,1,0,0,1,0,7,0,0,0
15 Funniest ?Starter Pack? Memes On The Internet,1,0,0,1,0,8,0,1,0
Best and Worst U.S. Presidents (In Order),1,0,0,0,0,8,0,0,0
Most Outrageous Donald Trump Quotes (Yes these are all real),1,0,0,0,0,10,0,0,0
Funniest *Hits Blunt* Memes On The Internet PART 2,1,0,1,0,0,9,0,1,0
Signs You Go To Indiana University,1,0,0,0,1,6,0,0,0
The Case Against Fully Shifting To Gender Neutral Bathrooms,1,0,0,0,0,9,0,0,0
8 Funniest Hillary Clinton Emails Released By The State Department,1,0,0,1,0,10,0,1,0
33 Historical Photos That Are Pretty Unneving,1,0,0,1,0,7,1,0,0
Be Polite: Slide A Coaster Under These Toads,1,0,0,0,0,8,0,0,0
6 Things Only Coffee Addicts And The Almighty Lord Understand,1,0,0,1,0,10,0,0,0
"Party?s Over, Wiseass: Change The Dildos In These Cops? Hands Back To Guns",1,0,0,0,0,13,0,0,1
Draw The Curtains On These Street Urchins Peering In At Our Roast Goose Supper,1,0,0,0,0,14,0,0,0
These Trophy Hunters Aren?t So Bad When They?re Kneeling Next To A Rolled-Up Rug,1,0,0,0,0,14,0,0,0
Give Billy Corgan A Kiss On The Forehead,1,0,0,0,0,8,0,0,0
Help These Oafs Get Their Shirts Over Their Heads,1,0,0,0,0,9,0,0,0
Plop Some Lips On These Unfinished Masterpieces And Call It A Day,1,0,0,0,0,12,0,0,0
Use The Sliders To Exchange These Coupons For A Picture Of Benicio Del Toro,1,0,0,0,0,14,0,1,0
We Asked 6 Hollywood Superstars To Share Their Favorite Stories About Stanley Kubrick,1,0,0,0,0,13,0,0,0
Get Healthy With The ClickHole Clean Eating Challenge,1,0,0,0,0,8,0,0,0
8 Pieces Of Misinformation You Should Confidently Tell Everyone You Know,1,0,0,1,1,11,0,1,0
11 Signs You?re Dating Your Soulmate,1,0,0,1,1,6,0,0,0
7 Reasons You Need A New Car?And Fast,1,0,0,1,1,8,0,0,0
5 Ford Vehicles That Look Right At Home Next To Articles About Road Trips,1,0,0,1,0,14,0,0,0
10 Incredible Photo Stories You Absolutely Can't Miss ,1,0,0,1,1,8,0,0,0
17 Dads Who Were Literally EVERYTHING ,1,0,1,1,0,6,0,1,0
26 Things You'll Totally Get If You're 23 Going On 83 ,1,0,0,1,1,11,0,1,0
17 Things Millennials Should Stop Wasting Money On So They Can Buy A House Instead ,1,0,0,1,0,15,0,0,0
19 Obama And Biden Tweets That Are Guaranteed To Make You Laugh ,1,0,0,1,1,12,1,1,0
20 Delightful Pencils For Literally Every Occasion ,1,0,0,1,0,7,0,1,0
These Women Were Born Before The 19th Amendment And Now Are Voting For Hillary Clinton ,1,0,0,0,0,15,0,0,0
"It's True, Your Cheese Preferences Will Determine The Number Of Kids You'll Have ",1,0,0,0,1,13,0,0,0
20 Delicious Bite-Size Desserts That Are Perfect For Entertaining ,1,0,0,1,0,9,1,1,0
Which Stereotypical College Student Are You? ,1,1,0,0,1,6,0,1,0
People Are Super Invested In These Two College Students' Weird And Hilarious Tinder Story ,1,0,0,0,0,14,1,1,0
14 Painfully Real Tweets About College That'll Make You Laugh ,1,0,0,1,1,10,1,1,0
Which 2016 Concert Tour Are You Based On Your Zodiac Sign? ,1,1,0,0,1,11,0,0,0
11 Spooky Scottish Houses In The Middle Of Nowhere You Can Buy ,1,0,0,1,1,12,1,0,0
"Which ""Friends"" Character Are You Based On Your Coffee Order? ",1,1,0,0,1,10,0,0,0
Here Is What An Abortion At 22 Weeks Is Actually Like ,1,0,0,0,0,11,0,1,0
This Guy Shared A Hack For Avoiding Parking Tickets And People Are Freaking Out ,1,0,0,0,0,14,1,1,0
This Chocolate Quiz Will Reveal Your Exact Age ,1,0,0,0,1,8,0,1,0
If You Can Pass This Drug Quiz We'll Only Be A Little Suspicious ,1,0,0,0,1,13,1,1,1
People Are Trolling Eric Trump For Apparently Getting Caught Putting Lemonade In A Free Water Cup ,1,0,0,0,0,16,1,0,0
22 Questions Human Beings Will Never Ever Be Able To Answer ,1,0,0,1,0,11,0,0,0
Can We All Please Agree Blackface Is NOT Necessary? ,1,1,1,0,0,9,0,0,0
"18 Hilarious Tumblr Posts Only ""The Sims"" Fans Will Get ",1,0,0,1,0,10,0,1,0
29 Things That Made Everyone Between The Ages Of 24 And 31 Shit Their Pants Growing Up ,1,0,0,1,0,17,0,1,1
12 Valuable Skills You Actually Learn In College ,1,0,0,1,1,8,0,1,0
26 Of The Coolest Things On Amazon Launchpad ,1,0,0,1,0,8,0,0,0
These Spooky Butts Will Get You In The Halloween Spirit ,1,0,0,0,1,10,0,0,1
23 Picture Tweets That Prove We Don't Deserve Animals ,1,0,0,1,0,9,0,1,0
How Garbage Are Your Opinions About Netflix's Marvel Shows?,1,1,0,0,1,9,0,0,0
26 Texts That Are Way Funnier Than They Have Any Right To Be,1,0,0,1,0,13,1,0,0
"We Know Your Major Based On Your Favorite ""Harry Potter"" Character",1,0,0,0,1,11,0,0,0
23 Funny Things About Living In America Only Brits Will Get,1,0,0,1,0,11,0,1,0
Which Ivy League School Should You Apply To Based On Your Zodiac Sign?,1,1,0,0,1,13,1,0,0
We Can Guess Your Age Based On Your Makeup Preferences,1,0,0,0,1,10,0,0,0
The Great Barrier Reef Has Been Given Another Shitty Report Card,1,0,0,0,0,11,0,0,1
"How Well Do You Remember ""The Simpsons"" Halloween Specials?",1,1,0,0,1,9,0,0,0
11 Of The Most Savage Burns In Literature,1,0,0,1,0,8,0,1,0
15 Kids Who Were Absolute Savages With Their Test Answers,1,0,0,1,0,10,0,1,0
"Someone Tried To Say ""Bon AppÇtit"" And Failed And Now It's A Huge Meme",1,0,0,0,0,14,0,1,0
People Think This CNN Commentator Perfectly Summed Up The Last Debate,1,0,1,0,0,11,0,1,0
Puppets Somehow Got Dragged Into The Debate Because 2016 Isn't Even Real,1,0,0,0,0,12,0,0,0
We Know If You're A Business Major Based On These Three Questions,1,0,0,0,1,12,0,0,0
Donald Trump Said Putin Isn't His Best Friend And The Memes Rushed In,1,0,0,0,0,13,0,1,0
The Story Of A Student Scared Of His Parents After He ?Only? Got 98% In A Test Is 100% Not True,1,0,0,0,0,21,0,0,0
What % Wednesday Addams Are You?,1,1,0,0,1,6,0,0,0
"Women Are Reclaiming Their ""Nastiness"" After Trump Called Clinton ""Nasty"" During The Debate",1,0,0,0,0,13,0,0,0
This Is How Much Trump And Clinton Have Changed Over The Years,1,0,0,0,0,12,0,0,0
13 Of Donald Trump?s Infamous Debate Phrases That Actually Make Great Band Names,1,0,0,1,0,13,0,1,0
